country,iso3,year,suicide_rate
Mongolia,MNG,2023,15.473985
Lithuania,LTU,2023,14.655936
Slovenia,SVN,2023,11.986767
Hungary,HUN,2023,11.440741
Australia,AUS,2023,10.887463
Sweden,SWE,2023,10.505647
Latvia,LVA,2023,10.421383
Mauritius,MUS,2023,10.222789
Austria,AUT,2023,9.884953
Czechia,CZE,2023,9.333653
Moldova,MDA,2023,8.914837
Thailand,THA,2023,8.830321
Netherlands,NLD,2023,8.479001
Switzerland,CHE,2023,8.379478
Kazakhstan,KAZ,2023,8.078788
Serbia,SRB,2023,7.007973
Spain,ESP,2023,6.1865764
Grenada,GRD,2023,5.943969
Kyrgyzstan,KGZ,2023,5.540079
Uzbekistan,UZB,2023,5.2523685
Slovakia,SVK,2023,4.969411
Georgia,GEO,2023,4.8479238
Turkey,TUR,2023,4.607418
Luxembourg,LUX,2023,4.576669
North Macedonia,MKD,2023,4.392378
United Arab Emirates,ARE,2023,2.3382325
Saudi Arabia,SAU,2023,1.7516338
Qatar,QAT,2023,1.5199353
Armenia,ARM,2023,1.4868191
Kuwait,KWT,2023,1.4769591
Lebanon,LBN,2023,0.27717775
